DivisionNm,OTH,ALP,LNP,PartyAb,Year
BOWMAN,14.20586979,30.16535481,55.6287754,LNP,2010
BRADDON,11.96244561,48.68330662,39.35424777,ALP,2010
BRADFIELD,16.33569034,19.21805409,64.44625557,LNP,2010
BRAND,19.81980827,40.79561183,39.38457989,ALP,2010
BRISBANE,23.73255685,30.38038717,45.88705598,LNP,2010
BRUCE,13.51583775,49.24492163,37.23924062,ALP,2010
CALARE,18.53499473,29.05134354,52.41366173,LNP,2010
CALWELL,17.60970373,56.62790963,25.76238664,ALP,2010
CANBERRA,18.55986305,44.23124933,37.20888762,ALP,2010
CANNING,13.46962719,40.3514684,46.17890441,LNP,2010
CAPRICORNIA,13.80691714,45.77382433,40.41925852,ALP,2010
CASEY,16.3819922,35.23963908,48.37836871,LNP,2010
CHARLTON,16.13745787,53.15238325,30.71015888,ALP,2010
CHIFLEY,18.09856789,51.58079407,30.32063804,ALP,2010
CHISHOLM,15.31956101,44.53453841,40.14590058,ALP,2010
COOK,13.3165156,28.80519712,57.87828727,LNP,2010
CORANGAMITE,15.47615236,39.53403985,44.98980779,ALP,2010
CORIO,17.36490001,51.50917603,31.12592395,ALP,2010
COWAN,17.49069378,32.44684838,50.06245784,LNP,2010
COWPER,21.40475296,27.8226564,50.77259064,LNP,2010
CUNNINGHAM,17.97919428,49.17091693,32.84988878,ALP,2010
CURTIN,19.59255502,19.2735894,61.13385557,LNP,2010
DAWSON,14.21716959,40.04388239,45.73894803,LNP,2010
DEAKIN,18.1325,39.92625,41.94125,ALP,2010
DENISON,41.56092447,35.79302795,22.64604758,OTH,2010
DICKSON,17.56516188,33.47288554,48.96195258,LNP,2010
DOBELL,13.4910656,46.26544479,40.24348961,ALP,2010
DUNKLEY,14.34615385,38.33216783,47.32167832,LNP,2010
DURACK,13.21008917,24.02705631,62.76285452,LNP,2010
EDEN-MONARO,14.5543151,43.60788632,41.83779858,ALP,2010
FADDEN,14.34530927,27.32633982,58.32835091,LNP,2010
FAIRFAX,23.24007791,27.3050363,49.45488579,LNP,2010
FARRER,22.61654282,25.51719105,51.86626613,LNP,2010
FISHER,23.19692608,30.32096888,46.48210503,LNP,2010
FLINDERS,13.93133778,31.7642899,54.30437233,LNP,2010
FLYNN,13.03509738,39.92139388,47.04350874,LNP,2010
FORDE,18.53596743,37.38791312,44.07611945,LNP,2010
FORREST,16.86600496,28.19354839,54.94044665,LNP,2010
FOWLER,10.20264821,52.85502458,36.9423272,ALP,2010
FRANKLIN,23.67429156,42.84842288,33.47728556,ALP,2010
FRASER,21.78660762,45.80557822,32.40781417,ALP,2010
FREMANTLE,22.49076953,38.94165371,38.56757676,ALP,2010
GELLIBRAND,18.28182986,58.81483972,22.90333041,ALP,2010
GILMORE,13.89495832,35.17959745,50.92544422,LNP,2010
GIPPSLAND,15.42519614,31.57182794,53.00297592,LNP,2010
GOLDSTEIN,17.61512808,29.83396012,52.5509118,LNP,2010
GORTON,16.43312752,59.97550646,23.59136603,ALP,2010
GRAYNDLER,29.66397962,46.09497952,24.24104086,ALP,2010
GREENWAY,16.33252635,42.32486004,41.34261361,ALP,2010
GREY,13.12774036,31.09207612,55.78018352,LNP,2010
GRIFFITH,19.52362456,44.41117139,36.06520404,ALP,2010
GROOM,16.08383333,22.66600395,61.25016272,LNP,2010
HASLUCK,20.48705392,37.52545578,41.9874903,LNP,2010
HERBERT,14.17778228,40.15414209,45.66807563,LNP,2010
HIGGINS,20.35846436,27.90514709,51.73638856,LNP,2010
HINDMARSH,16.42719448,44.53510266,39.03770286,ALP,2010
HINKLER,12.54906331,32.49755457,54.95338212,LNP,2010
HOLT,14.95944319,54.42252342,30.61803339,ALP,2010
HOTHAM,13.01663306,54.08266129,32.90070565,ALP,2010
HUGHES,13.06035432,37.78488419,49.15476149,LNP,2010
HUME,14.5825759,31.86238866,53.55503545,LNP,2010
HUNTER,14.64692427,54.30676144,31.04631429,ALP,2010
INDI,20.174558,27.20411947,52.62132253,LNP,2010
ISAACS,16.11126321,49.42342441,34.46531238,ALP,2010
JAGAJAGA,18.05382637,47.33602504,34.61014859,ALP,2010
KENNEDY,53.1949781,20.20630919,26.59871271,OTH,2010
KINGSFORD SMITH,14.91667581,43.83449756,41.24882663,ALP,2010
KINGSTON,19.92726006,51.05080907,29.02193088,ALP,2010
KOOYONG,20.04133502,27.39429429,52.56437069,LNP,2010
LA TROBE,17.94891963,38.16982595,43.88125442,ALP,2010
LALOR,12.25553218,64.5726196,23.17184822,ALP,2010
LEICHHARDT,17.94466997,34.65894853,47.3963815,LNP,2010
LILLEY,17.69624475,41.08804417,41.21571108,ALP,2010
LINDSAY,12.05978829,44.5480433,43.39216841,ALP,2010
LINGIARI,25.65751159,40.07967014,34.26281827,ALP,2010
LONGMAN,18.61232604,37.63552021,43.75215374,LNP,2010
